perl, BitString, 16, 0.482481
perl, BitString, 32, 0.540642
perl, BitString, 64, 0.661331
perl, BitString, 128, 0.898549
perl, BitString, 256, 1.383042
perl, BitString, 512, 2.368915
perl, BitString, 1024, 4.335656
perl, BitString, 2048, 8.343458
perl, BitString, 4096, 16.51248
perl, BitString, 8192, 34.982834
perl, BitString, 16384, 75.239997
perl, BitString, 32768, 152.757579
perl, Bit_Vector, 16, 0.000223
perl, Bit_Vector, 32, 0.000379
perl, Bit_Vector, 64, 0.000848
perl, Bit_Vector, 128, 0.002052
perl, Bit_Vector, 256, 0.005424
perl, Bit_Vector, 512, 0.017123
perl, Bit_Vector, 1024, 0.059182
perl, Bit_Vector, 2048, 0.232227
perl, Bit_Vector, 4096, 0.876622
perl, Bit_Vector, 8192, 3.41329
perl, Bit_Vector, 16384, 13.528598
perl, Bit_Vector, 32768, 52.302229
lua, BitString, 16, 0.660424
lua, BitString, 32, 0.715426
lua, BitString, 64, 0.766031
lua, BitString, 128, 0.901343
lua, BitString, 256, 1.030003
lua, BitString, 512, 1.035787
lua, BitString, 1024, 1.250101
lua, BitString, 2048, 1.5656
lua, BitString, 4096, 2.086169
lua, BitString, 8192, 3.099528
lua, BitString, 16384, 4.950738
lua, BitString, 32768, 8.785274
Scala, BitVector, 16, 1.049616979
Scala, BitVector, 32, 1.347664112
Scala, BitVector, 64, 2.241865847
Scala, BitVector, 128, 3.708081175
Scala, BitVector, 256, 6.615876307
Scala, BitVector, 512, 12.41384213
Scala, BitVector, 1024, 24.069732172
Scala, BitVector, 2048, 48.438019734
Scala, BitVector, 4096, 96.597694114
Scala, BitVector, 8192, 187.271502336
Scala, BitVector, 16384, 371.318883404
Scala, BitVector, 32768, 737.071901171
Scala, BitString, 16, 0.429878077
Scala, BitString, 32, 0.557769518
Scala, BitString, 64, 0.889133517
Scala, BitString, 128, 1.551438425
Scala, BitString, 256, 2.867748502
Scala, BitString, 512, 5.428039166
Scala, BitString, 1024, 10.432627231
Scala, BitString, 2048, 20.1772502
Scala, BitString, 4096, 39.205083412
Scala, BitString, 8192, 80.415843119
Scala, BitString, 16384, 157.288003052
Scala, BitString, 32768, 317.213372249

